name,year,total
Elon Musk,2018,19.9
Jeff Bezos,2018,112.0
Bernard Arnault,2018,72.0
Bill Gates,2018,90.0
Warren Buffett,2018,84.0
Larry Page,2018,48.8
Sergey Brin,2018,47.5
Larry Ellison,2018,58.5
Steve Ballmer,2018,38.4
Mukesh Ambani,2018,40.1
Elon Musk,2019,22.3
Jeff Bezos,2019,131.0
Bernard Arnault,2019,76.0
Bill Gates,2019,96.5
Warren Buffett,2019,82.5
Larry Page,2019,50.8
Sergey Brin,2019,49.8
Larry Ellison,2019,62.5
Steve Ballmer,2019,41.2
Mukesh Ambani,2019,50.0
Elon Musk,2020,24.6
Jeff Bezos,2020,113.0
Bernard Arnault,2020,76.0
Bill Gates,2020,98.0
Warren Buffett,2020,67.5
Larry Page,2020,50.9
Sergey Brin,2020,49.1
Larry Ellison,2020,59.0
Steve Ballmer,2020,52.7
Mukesh Ambani,2020,36.8
Elon Musk,2021,151.0
Jeff Bezos,2021,177.0
Bernard Arnault,2021,150.0
Bill Gates,2021,124.0,
Warren Buffett,2021,96.0
Larry Page,2021,91.5
Sergey Brin,2021,89.0
Larry Ellison,2021,93.0
Steve Ballmer,2021,68.7
Mukesh Ambani,2021,84.5
Elon Musk,2022,219.0
Jeff Bezos,2022,171.0
Bernard Arnault,2022,158.0
Bill Gates,2022,129.0
Warren Buffett,2022,118.0
Larry Page,2022,111.0
Sergey Brin,2022,107.0
Larry Ellison,2022,106.0
Steve Ballmer,2022,91.4
Mukesh Ambani,2022,90.7
