SleepTime,HeartDisease,Stroke,Diabetic,Asthma,KidneyDisease,SkinCancer
1.0,60,30,95,90,29.0,45.0
2.0,128,81,162,175,55.0,66.0
3.0,347,193,439,520,158.0,151.0
4.0,1180,632,1552,1867,541.0,546.0
5.0,2030,939,3056,3586,889.0,1344.0
6.0,5427,2306,8693,9987,2430.0,5104.0
7.0,6325,2357,9698,11437,2588.0,9257.0
8.0,8358,3710,12164,11345,3492.0,9929.0
9.0,1696,806,2335,2054,749.0,2057.0
10.0,1165,604,1657,1166,520.0,959.0
11.0,73,47,96,66,23.0,50.0
12.0,416,244,572,368,206.0,222.0
13.0,18,11,23,27,6.0,6.0
14.0,43,28,67,50,14.0,24.0
15.0,24,18,54,50,21.0,17.0
16.0,34,20,71,41,23.0,20.0
17.0,2,4,5,3,3.0,1.0
18.0,21,19,27,20,19.0,8.0
19.0,1,1,2,1,,
20.0,16,14,23,12,11.0,6.0
22.0,3,3,3,1,1.0,3.0
24.0,6,2,8,5,1.0,4.0
